iso3,country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
ECS,Europe & Central Asia,18477.5285403385,18863.273716802,19121.7872126142,19419.6815424207,19978.690365054,20464.4783927706,21196.6642243836,21916.84687082,22052.0918924998,20991.3574844148,21465.351630475,21915.6417726438,21898.7575895315,22004.7529248863,22338.7450304311,22702.8228380066,23032.6152966065,23622.7656806191,24037.6040282064,24389.8062444924,23034.1354718301
ECU,Ecuador,3953.39879728357,4049.0001889951,4174.89793579965,4220.21298466638,4430.23717984188,4589.32849203452,4706.98056823816,4715.30359842555,4939.90215021789,4909.33681705683,5022.20374387205,5359.45724615639,5579.85624282158,5893.32172683036,6055.04172761485,5976.1596805651,5849.13587933672,6104.27253521751,6063.0956178776,5971.38938386723,5355.68934196443
EGY,"Egypt, Arab Rep.",2458.60835003016,2492.03441188721,2498.48121191713,2524.80477192682,2574.42341789124,2635.70305227819,2761.62410769792,2902.06559804963,3052.21297844721,3135.09661303014,3233.84521246786,3222.37650111856,3220.99194203067,3216.3783902629,3235.66246235257,3306.98159414141,3381.22246306207,3452.90961245539,3568.63966286161,3701.2446345188,3770.86947867421
EMU,Euro area,30853.1385054093,31423.952566199,31566.1273129298,31628.9508530599,32179.5603833867,32577.2810721025,33499.6140523812,34325.8913160023,34294.4150107331,32645.5191413239,33252.3689886555,33906.6275617053,33522.1754688076,33413.4989986022,33841.6103940756,34471.1747135027,34995.0723160118,35842.3298274979,36369.0726205231,36891.7993038494,34608.4614772745
ERI,Eritrea,845.132430060544,893.268735439193,889.009113592982,830.379672282601,808.591420184592,809.794793468889,789.402432018085,789.072701743247,693.398874212494,702.430936480778,703.877374381654,751.374899794668,,,,,,,,,
ESP,Spain,24106.8818529374,24878.3784543991,25205.3154769045,25481.1653690112,25825.3106463315,26294.447384391,26899.0921497113,27338.79541774,27112.526293889,25860.8142592652,25766.2515825743,25510.5579678829,24763.568274484,24498.5559507945,24947.8512505913,25982.4416197775,26719.2442268615,27426.281015093,27956.7225466484,28301.4393949563,25077.019882928
EST,Estonia,10006.7696280939,10662.9455020331,11474.6622721923,12424.0441535693,13348.5284463324,14703.6179707772,16234.5152041417,17543.4661785723,16688.997772178,14274.8511086787,14657.939813612,15820.922342204,16460.6843479001,16809.5326683781,17413.6867560212,17722.1557669523,18264.9873304279,19270.8141210511,19914.3454922878,20579.8756732376,19946.945696898
ETH,Ethiopia,247.505413659694,260.04231608135,256.066635883709,243.076666020009,267.923513391712,290.833381425059,313.013896721503,338.799064654308,364.642208155735,385.632419711374,421.898622378633,455.909628648555,481.639999909808,518.324662208106,556.362532243867,597.912113218663,636.835680951429,678.98541915757,705.96881207336,744.702789753973,768.705424485209
EUU,European Union,26365.798677465,26899.8795099661,27131.1149025351,27284.7276136716,27885.7681519653,28334.7590973938,29246.6456488849,30060.1943726362,30144.6515730515,28771.7357026131,29352.9442515094,29974.1521239011,29700.9011811145,29667.2033330658,30117.8841825355,30771.6568591261,31300.1591558827,32135.6624693296,32719.1711480652,33289.4352232777,31435.0353450837
FCS,Fragile and conflict affected situations,1295.212123623,1317.2785211913,1326.84891113816,1297.19104055081,1417.38633890673,1470.03208126605,1523.62890028503,1581.88537303272,1622.44441895788,1619.06372938072,1676.97481416998,1643.76876493197,1694.3739229428,1708.69932882823,1697.58810951134,1663.16200127279,1634.41669597359,1619.44767158323,1607.410665042,1585.23602922322,1435.4620668369
FIN,Finland,37872.6020343504,38784.1308115726,39343.0698997627,40038.9839702277,41521.962874476,42529.3506920884,44069.3958834717,46213.6898975737,46359.8732844055,42412.5133513534,43556.5385834368,44391.4535667984,43507.9345371578,42883.6384986417,42502.4880199858,42560.3456767103,43529.6761616969,44862.220404205,45337.2409550575,45898.5708448954,44690.9801103074
